participant,condition,learningtype,item,itemgroup,verbtype,known,input,testmoment,bin_score,frequency,cognate,vowellength,vowelchange,structure,syllables,verbclass,lextale,age,gender,L11,L12,bilingualism,usage,proficiency_overall,proficiency_oral,proficiency_written,comprehension_oral,comprehension_written,proficiency_average,L21,L22,L23,L2s_amount
pp01,IMP,incidental,bezahlen,CONTR_A,control,ACT,yes,T1,1,552,yes,long,none,S-V-OA-PP,3,weak,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,brauchen,CONTR_A,control,ACT,yes,T1,1,1799,no,diphtong,none,S-V-OA-PP,2,weak,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,folgen,CONTR_A,control,ACT,yes,T1,1,1133,yes,short,none,S-V-OD-PP,2,weak,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,fragen,CONTR_A,control,ACT,yes,T1,1,2461,yes,long,none,S-V-OA-PP,2,weak,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,gehen,CONTR_A,control,ACT,yes,T1,1,7302,yes,long,none,ITR,2,irregular,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,kaufen,CONTR_A,control,ACT,yes,T1,0,740,yes,diphtong,none,S-V-OA-PP,2,weak,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,kochen,CONTR_A,control,ACT,yes,T1,1,97,yes,short,none,S-V-OA-PP,2,weak,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,parken,CONTR_A,control,ACT,yes,T1,1,25,yes,short,none,S-V-OA-PP,2,weak,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,planen,CONTR_A,control,ACT,yes,T1,1,381,yes,long,none,S-V-OA-PP,2,weak,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
pp01,IMP,incidental,reden,CONTR_A,control,ACT,yes,T1,1,906,no,long,none,ITR,2,weak,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3
