participant,learningtype,condition,lextale,age,gender,L11,L12,bilingualism,usage,proficiency_overall,proficiency_oral,proficiency_written,comprehension_oral,comprehension_written,proficiency_average,L21,L22,L23,L2s_amount,german_school_years,german_hours_per_week,eveningclasses_years,german_at_uni_years,school_evening_years,PRE_CRIT,PRE_CONTR,crit_input_T1,crit_noinput_T1,contr_input_T1,contr_noinput_T1,crit_input_T2,crit_noinput_T2,contr_input_T2,contr_noinput_T2,crit_input_T3,crit_noinput_T3,contr_input_T3,contr_noinput_T3
pp01,incidental,IMP,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3,8,3,0,2,8,25,100,31.25,40,93.75,76.92,68.75,20,93.75,92.31,75,46.67,81.25,76.92
pp02,explicit,EXP,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2,4,2,0,0,4,0,100,37.5,26.67,87.5,80,68.75,33.33,87.5,86.7,50,46.67,87.5,80
pp03,incidental,IMP,73.75,21,m,NL-BE,none,monolingual,3,3,3,4,4,4,3.38,english,french,999,2,3,2,0,2,3,25,100,75,87.5,87.5,75,87.5,87.5,93.75,87.5,87.5,100,93.75,93.75
pp04,incidental,IMP,72.5,22,m,NL-NL,none,monolingual,2,3,3,3,5,5,3.5,english,french,spanish,3,6,2,0,2,6,0,100,56.25,75,93.75,93.75,87.5,56.25,93.75,100,87.5,81.25,93.75,87.5
pp05,incidental,IMP,71.25,21,v,NL-NL,none,monolingual,3,4,4,4,5,5,4.25,english,norwegian,french,3,5,3,0,3,5,25,100,62.5,62.5,87.5,87.5,75,62.5,75,87.5,68.75,68.75,87.5,93.75
pp06,explicit,EXP,58.75,23,v,NL-BE,none,monolingual,2,2,2,1,2,3,2,english,french,999,2,0,0,0.25,0,0.25,0,100,12.5,46.67,80,100,62.5,33.33,93.33,100,56.25,53.33,80,93.33
pp08,explicit,EXP,73.75,19,v,NL-NL,french,bilingual,2,1,1,3,4,5,2.13,french,999,999,1,2,1,0,0.25,2,100,33.33,68.75,75,81.25,80,87.5,87.5,87.5,93.33,93.75,81.25,87.5,93.33
pp09,incidental,IMP,65,22,v,NL-BE,none,monolingual,2,2,2,2,3,4,2.38,english,Spaans,french,3,2,3,0,2,2,0,100,13.33,21.43,93.75,93.33,6.67,14.29,93.75,93.33,20,42.86,81.25,86.67
pp10,explicit,EXP,82.5,24,v,NL-NL,none,monolingual,4,4,4,4,4,4,4,english,Spaans,french,3,7,4,0,3,7,75,100,81.25,93.75,81.25,93.75,93.75,93.75,100,93.75,75,87.5,87.5,100
pp11,incidental,IMP,68.75,20,m,NL-BE,french,bilingual,2,4,3,3,4,4,3.75,english,999,999,1,5,3,0,2,5,100,75,87.5,81.25,81.25,93.75,93.75,93.75,81.25,100,87.5,68.75,81.25,93.75
